ID,ID CALLE,NOMBRE,ID ORIGEN, ID DESTINO,ORIGEN, DESTINO,DISTANCIA KM,VELOCIDAD KM/H,COSTO,COSTO INVERSO,LATITUD ORIGEN,LONGITUD ORIGEN,LATITUD DESTINO,LONGITUD DESTINO
858,4832972,AV. TOMAS VALLE,31069688,31069656,170,167,0.0322878,70,0.0004613,1000000,-12.0197945,-77.1013987,-12.0196318,-77.1011528
859,4832972,AV. TOMAS VALLE,31069656,769223700,167,2736,0.4203587,70,0.0060051,1000000,-12.0196318,-77.1011528,-12.017034,-77.0983622
860,4832972,AV. TOMAS VALLE,769223700,769223685,2736,2731,0.0185328,70,0.0002648,1000000,-12.017034,-77.0983622,-12.0169013,-77.0982591
861,4832972,AV. TOMAS VALLE,769223685,31069505,2731,54615,0.4986489,70,0.0071236,1000000,-12.0169013,-77.0982591,-12.0136937,-77.0950611
862,4832972,AV. TOMAS VALLE,31069505,31069450,54615,62711,0.0344246,70,0.0004918,1000000,-12.0136937,-77.0950611,-12.0134922,-77.0948208
863,4832972,AV. TOMAS VALLE,31069450,31044276,62711,104,0.5326172,70,0.0076088,1000000,-12.0134922,-77.0948208,-12.0118785,-77.0902779
864,4832972,AV. TOMAS VALLE,31044276,138789937,104,18398,0.1077873,70,0.0015398,1000000,-12.0118785,-77.0902779,-12.0118671,-77.0892872
865,4832972,AV. TOMAS VALLE,138789937,1359117117,18398,96452,0.2165466,70,0.0030935,1000000,-12.0118671,-77.0892872,-12.012208,-77.0873315
866,4832972,AV. TOMAS VALLE,1359117117,138789941,96452,16840,0.0143535,70,0.0002051,1000000,-12.012208,-77.0873315,-12.0122252,-77.0872007
867,4832972,AV. TOMAS VALLE,138789941,847692749,16840,62763,0.5175445,70,0.0073935,1000000,-12.0122252,-77.0872007,-12.0130608,-77.0825359
868,4832972,AV. TOMAS VALLE,847692749,31044325,62763,189,0.2776037,70,0.0039658,1000000,-12.0130608,-77.0825359,-12.0128881,-77.0799947
869,4832972,AV. TOMAS VALLE,31044325,138792491,189,179,0.0602933,70,0.0008613,1000000,-12.0128881,-77.0799947,-12.0128105,-77.0794466
870,4832972,AV. TOMAS VALLE,138792491,138792496,179,16702,0.1421019,70,0.00203,1000000,-12.0128105,-77.0794466,-12.0124754,-77.0781877
871,4832972,AV. TOMAS VALLE,138792496,1843155165,16702,90524,0.3753229,70,0.0053618,1000000,-12.0124754,-77.0781877,-12.0119269,-77.0747827
872,4832972,AV. TOMAS VALLE,1843155165,138792500,90524,10451,0.0110309,70,0.0001576,1000000,-12.0119269,-77.0747827,-12.0119092,-77.0746829
873,4832972,AV. TOMAS VALLE,138792500,138792506,10451,10445,0.462532,70,0.0066076,1000000,-12.0119092,-77.0746829,-12.0110517,-77.0705297
874,4832972,AV. TOMAS VALLE,138792506,550860452,10445,65186,0.0151278,70,0.0002161,1000000,-12.0110517,-77.0705297,-12.0110057,-77.0703988
875,4832972,AV. TOMAS VALLE,550860452,138792509,65186,95759,0.0311557,70,0.0004451,1000000,-12.0110057,-77.0703988,-12.010919,-77.0701264
876,4832972,AV. TOMAS VALLE,138792509,2469993888,95759,16644,0.1572701,70,0.0022467,1000000,-12.010919,-77.0701264,-12.0104607,-77.0687584
877,4832972,AV. TOMAS VALLE,2469993888,2469993879,16644,16639,0.0172299,70,0.0002461,1000000,-12.0104607,-77.0687584,-12.01041,-77.0686087
878,4832972,AV. TOMAS VALLE,2469993879,138792511,16639,17062,0.0386205,70,0.0005517,1000000,-12.01041,-77.0686087,-12.0102985,-77.0682724
879,4832972,AV. TOMAS VALLE,138792511,2469993656,17062,95748,0.7008438,70,0.0100121,1000000,-12.0102985,-77.0682724,-12.0087333,-77.0620616
880,4832972,AV. TOMAS VALLE,2469993656,138795216,95748,171,0.0628567,70,0.000898,1000000,-12.0087333,-77.0620616,-12.008902,-77.0615107
881,4832976,JOSE GRANDA,31069434,31069437,114,64,0.0670022,70,0.0009572,1000000,-12.0264707,-77.0752943,-12.0259671,-77.0751226
882,4832976,JOSE GRANDA,31069437,31069412,64,178,0.0091994,70,0.0001314,1000000,-12.0259671,-77.0751226,-12.0259335,-77.0751999
883,4832976,JOSE GRANDA,31069412,31069413,178,190,0.0116963,70,0.0001671,1000000,-12.0259335,-77.0751999,-12.0258831,-77.0752943
884,4832976,JOSE GRANDA,31069413,31069442,190,116,0.0204047,70,0.0002915,1000000,-12.0258831,-77.0752943,-12.0258556,-77.0754798
885,4832976,JOSE GRANDA,31069442,31069444,116,10486,0.0500254,70,0.0007146,1000000,-12.0258556,-77.0754798,-12.0262525,-77.0756548
886,4832976,JOSE GRANDA,31069444,31069486,10486,191,0.0256276,70,0.0003661,1000000,-12.0262525,-77.0756548,-12.0264455,-77.075526
887,4832976,JOSE GRANDA,31069486,31069487,191,177,0.0126883,70,0.0001813,1000000,-12.0264455,-77.075526,-12.0264791,-77.0754145
888,4832976,JOSE GRANDA,31069487,31069434,177,114,0.0131055,70,0.0001872,1000000,-12.0264791,-77.0754145,-12.0264707,-77.0752943
889,4832980,AV. CANTA CALLAO,31069845,31069864,172,129,0.1001816,70,0.0014312,1000000,-12.0009557,-77.1166601,-12.000364,-77.1159655
890,4832980,AV. CANTA CALLAO,31069864,1757614266,129,81034,0.2069429,70,0.0029563,1000000,-12.000364,-77.1159655,-11.9990027,-77.1146681
891,4832980,AV. CANTA CALLAO,1757614266,1756592888,81034,7363,0.300106,70,0.0042872,1000000,-11.9990027,-77.1146681,-11.9970473,-77.1127667
892,4832980,AV. CANTA CALLAO,1756592888,427589721,7363,2726,0.0384357,70,0.0005491,1000000,-11.9970473,-77.1127667,-11.9968228,-77.112498
893,4832980,AV. CANTA CALLAO,427589721,847760094,2726,18562,0.2009212,70,0.0028703,1000000,-11.9968228,-77.112498,-11.9954373,-77.1113122
894,4832980,AV. CANTA CALLAO,847760094,847760096,18562,2734,0.1716788,70,0.0024526,1000000,-11.9954373,-77.1113122,-11.9943106,-77.1102336
895,4832980,AV. CANTA CALLAO,847760096,847760097,2734,2733,0.0132797,70,0.0001897,1000000,-11.9943106,-77.1102336,-11.9942203,-77.1101537
896,4832980,AV. CANTA CALLAO,847760097,1359114575,2733,54684,0.2415322,70,0.0034505,1000000,-11.9942203,-77.1101537,-11.9926017,-77.1086733
897,4832980,AV. CANTA CALLAO,1359114575,31069792,54684,54612,0.2592395,70,0.0037034,1000000,-11.9926017,-77.1086733,-11.9908708,-77.1070766
898,4832980,AV. CANTA CALLAO,31069792,31069790,54612,118,0.027518,70,0.0003931,1000000,-11.9908708,-77.1070766,-11.9906877,-77.1069064
899,4832980,AV. CANTA CALLAO,31069790,1359114030,118,54676,0.049259,70,0.0007037,1000000,-11.9906877,-77.1069064,-11.9903561,-77.1066061
900,4832980,AV. CANTA CALLAO,1359114030,1359113983,54676,65173,0.0420167,70,0.0006002,1000000,-11.9903561,-77.1066061,-11.9900733,-77.1063499
